review date,index name,broad index,narrow index
2012-07-15,myindex001,0001.HK,0001.HK
2012-07-15,myindex001,0002.HK,0002.HK
2012-07-15,myindex001,0003.HK,0003.HK
2012-07-15,myindex001,0004.HK,0004.HK
2012-07-15,myindex001,0006.HK,0006.HK
2012-07-15,myindex001,0008.HK,0011.HK
2012-07-15,myindex001,0011.HK,0012.HK
2012-07-15,myindex001,0012.HK,0014.HK
2012-07-15,myindex001,0014.HK,0019.HK
2012-07-15,myindex001,0016.HK,0020.HK
2012-07-15,myindex001,0019.HK,0083.HK
2012-07-15,myindex001,0020.HK,0152.HK
2012-07-15,myindex001,0066.HK,0168.HK
2012-07-15,myindex001,0083.HK,0177.HK
2012-07-15,myindex001,0135.HK,0270.HK
2012-07-15,myindex001,0144.HK,0272.HK
2012-07-15,myindex001,0148.HK,0291.HK
2012-07-15,myindex001,0151.HK,0303.HK
2012-07-15,myindex001,0152.HK,0322.HK
2012-07-15,myindex001,0165.HK,0336.HK
2012-07-15,myindex001,0168.HK,0358.HK
2012-07-15,myindex001,0173.HK,0388.HK
2012-07-15,myindex001,0175.HK,0683.HK
2012-07-15,myindex001,0177.HK,0700.HK
2012-07-15,myindex001,0178.HK,0823.HK
2012-07-15,myindex001,0220.HK,0867.HK
2012-07-15,myindex001,0257.HK,0941.HK
2012-07-15,myindex001,0270.HK,0992.HK
2012-07-15,myindex001,0272.HK,1038.HK
2012-07-15,myindex001,0291.HK,1044.HK
2012-07-15,myindex001,0303.HK,1066.HK
2012-07-15,myindex001,0322.HK,1083.HK
2012-07-15,myindex001,0336.HK,1088.HK
2012-07-15,myindex001,0358.HK,1099.HK
2012-07-15,myindex001,0363.HK,1109.HK
2012-07-15,myindex001,0386.HK,1171.HK
2012-07-15,myindex001,0388.HK,1177.HK
2012-07-15,myindex001,0392.HK,1186.HK
2012-07-15,myindex001,0425.HK,1193.HK
2012-07-15,myindex001,0489.HK,1199.HK
2012-07-15,myindex001,0494.HK,1398.HK
2012-07-15,myindex001,0522.HK,1668.HK
2012-07-15,myindex001,0551.HK,1766.HK
2012-07-15,myindex001,0590.HK,1800.HK
2012-07-15,myindex001,0606.HK,1813.HK
2012-07-15,myindex001,0669.HK,1882.HK
2012-07-15,myindex001,0683.HK,1888.HK
2012-07-15,myindex001,0688.HK,1898.HK
2012-07-15,myindex001,0700.HK,1999.HK
2012-07-15,myindex001,0751.HK,2007.HK
2012-07-15,myindex001,0762.HK,2018.HK
2012-07-15,myindex001,0763.HK,2238.HK
2012-07-15,myindex001,0817.HK,2313.HK
2012-07-15,myindex001,0823.HK,2314.HK
2012-07-15,myindex001,0857.HK,2319.HK
2012-07-15,myindex001,0867.HK,2333.HK
2012-07-15,myindex001,0868.HK,2338.HK
2012-07-15,myindex001,0880.HK,2601.HK
2012-07-15,myindex001,0883.HK,2628.HK
2012-07-15,myindex001,0914.HK,2688.HK
2012-07-15,myindex001,0939.HK,2689.HK
2012-07-15,myindex001,0941.HK,2778.HK
2012-07-15,myindex001,0992.HK,2883.HK
2012-07-15,myindex001,1038.HK,2899.HK
2012-07-15,myindex001,1044.HK,3311.HK
2012-07-15,myindex001,1066.HK,3377.HK
2012-07-15,myindex001,1083.HK,3383.HK
2012-07-15,myindex001,1088.HK,3808.HK
2012-07-15,myindex001,1099.HK,3888.HK
2012-07-15,myindex001,1109.HK,3898.HK
2012-07-15,myindex001,1171.HK,3968.HK
2012-07-15,myindex001,1177.HK,
2012-07-15,myindex001,1186.HK,
2012-07-15,myindex001,1193.HK,
2012-07-15,myindex001,1199.HK,
2012-07-15,myindex001,1398.HK,
2012-07-15,myindex001,1668.HK,
2012-07-15,myindex001,1766.HK,
2012-07-15,myindex001,1800.HK,
2012-07-15,myindex001,1813.HK,
2012-07-15,myindex001,1882.HK,
2012-07-15,myindex001,1888.HK,
2012-07-15,myindex001,1898.HK,
2012-07-15,myindex001,1999.HK,
2012-07-15,myindex001,2007.HK,
2012-07-15,myindex001,2018.HK,
2012-07-15,myindex001,2238.HK,
2012-07-15,myindex001,2313.HK,
2012-07-15,myindex001,2314.HK,
2012-07-15,myindex001,2319.HK,
2012-07-15,myindex001,2333.HK,
2012-07-15,myindex001,2338.HK,
2012-07-15,myindex001,2601.HK,
2012-07-15,myindex001,2628.HK,
2012-07-15,myindex001,2688.HK,
2012-07-15,myindex001,2689.HK,
2012-07-15,myindex001,2778.HK,
2012-07-15,myindex001,2883.HK,
2012-07-15,myindex001,2899.HK,
2012-07-15,myindex001,3311.HK,
2012-07-15,myindex001,3377.HK,
2012-07-15,myindex001,3383.HK,
2012-07-15,myindex001,3808.HK,
2012-07-15,myindex001,3888.HK,
2012-07-15,myindex001,3898.HK,
2012-07-15,myindex001,3968.HK,
2012-07-15,myindex001,3988.HK,
